"Date","P/E","P/B","Div Yield"
"27-Sep-2021","       27.81","        4.57","        1.16"
"28-Sep-2021","       27.63","        4.53","        1.17"
"29-Sep-2021","       27.56","        4.52","        1.17"
"30-Sep-2021","       27.04","        4.42","        1.17"
"01-Oct-2021","       26.94","        4.41","        1.17"
"04-Oct-2021","       27.21","        4.45","        1.16"
"05-Oct-2021","       27.40","        4.48","        1.16"
"06-Oct-2021","       27.13","        4.44","        1.17"
"07-Oct-2021","       27.36","        4.47","        1.16"
"08-Oct-2021","       27.49","        4.50","        1.15"
"11-Oct-2021","       27.57","        4.51","        1.15"
"12-Oct-2021","       27.61","        4.52","        1.14"
"13-Oct-2021","       27.88","        4.57","        1.13"
"14-Oct-2021","       28.15","        4.61","        1.12"
"18-Oct-2021","       28.28","        4.64","        1.11"
"19-Oct-2021","       28.05","        4.61","        1.08"
"20-Oct-2021","       27.76","        4.57","        1.09"
"21-Oct-2021","       27.61","        4.54","        1.11"
"22-Oct-2021","       27.48","        4.52","        1.11"
"25-Oct-2021","       27.28","        4.52","        1.06"
"26-Oct-2021","       27.21","        4.56","        1.13"
"27-Oct-2021","       27.12","        4.55","        1.13"
"28-Oct-2021","       26.46","        4.46","        1.13"
"29-Oct-2021","       25.89","        4.42","        1.12"
"01-Nov-2021","       26.32","        4.48","        1.11"
"02-Nov-2021","       26.06","        4.48","        1.12"
"03-Nov-2021","       26.11","        4.47","        1.12"
"04-Nov-2021","       26.24","        4.49","        1.09"
"08-Nov-2021","       26.39","        4.53","        1.07"
"09-Nov-2021","       26.24","        4.53","        1.08"
"10-Nov-2021","       26.23","        4.52","        1.08"
"11-Nov-2021","       25.89","        4.49","        1.11"
"12-Nov-2021","       26.20","        4.55","        1.09"
"15-Nov-2021","       26.18","        4.55","        1.09"
"16-Nov-2021","       25.15","        4.53","        1.10"
"17-Nov-2021","       24.74","        4.50","        1.10"
"18-Nov-2021","       24.53","        4.47","        1.11"
"22-Nov-2021","       24.06","        4.38","        1.14"
"23-Nov-2021","       24.21","        4.41","        1.13"
"24-Nov-2021","       24.09","        4.38","        1.14"
"25-Nov-2021","       24.27","        4.42","        1.13"
"26-Nov-2021","       23.56","        4.29","        1.16"
"29-Nov-2021","       23.56","        4.29","        1.16"
"30-Nov-2021","       23.46","        4.27","        1.17"
"01-Dec-2021","       23.70","        4.31","        1.16"
"02-Dec-2021","       24.01","        4.37","        1.14"
"03-Dec-2021","       23.77","        4.33","        1.15"
"06-Dec-2021","       23.36","        4.25","        1.19"
"07-Dec-2021","       23.72","        4.32","        1.18"
"08-Dec-2021","       24.11","        4.39","        1.16"
"09-Dec-2021","       24.17","        4.40","        1.15"
"10-Dec-2021","       24.18","        4.40","        1.15"
"13-Dec-2021","       23.99","        4.37","        1.16"
"14-Dec-2021","       23.95","        4.36","        1.18"
"15-Dec-2021","       23.80","        4.33","        1.18"
"16-Dec-2021","       23.82","        4.34","        1.18"
"17-Dec-2021","       23.43","        4.26","        1.21"
"20-Dec-2021","       22.89","        4.17","        1.24"
"21-Dec-2021","       23.14","        4.21","        1.22"
"22-Dec-2021","       23.40","        4.26","        1.23"
"23-Dec-2021","       23.58","        4.29","        1.22"
"24-Dec-2021","       23.46","        4.27","        1.23"
"27-Dec-2021","       23.56","        4.29","        1.22"
"28-Dec-2021","       23.77","        4.33","        1.21"
"29-Dec-2021","       23.74","        4.32","        1.22"
"30-Dec-2021","       23.70","        4.31","        1.23"
"31-Dec-2021","       24.08","        4.38","        1.21"
"03-Jan-2022","       24.43","        4.44","        1.19"
"04-Jan-2022","       24.64","        4.48","        1.18"
"05-Jan-2022","       24.80","        4.51","        1.17"
"06-Jan-2022","       24.58","        4.47","        1.18"
"07-Jan-2022","       24.67","        4.49","        1.18"
"10-Jan-2022","       24.91","        4.53","        1.17"
"11-Jan-2022","       24.97","        4.54","        1.16"
"12-Jan-2022","       25.18","        4.58","        1.15"
"13-Jan-2022","       25.26","        4.59","        1.15"
"14-Jan-2022","       25.20","        4.59","        1.14"
"17-Jan-2022","       25.28","        4.61","        1.14"
"18-Jan-2022","       24.91","        4.55","        1.15"
"19-Jan-2022","       24.70","        4.52","        1.17"
"20-Jan-2022","       24.46","        4.48","        1.19"
"21-Jan-2022","       24.24","        4.44","        1.20"
"24-Jan-2022","       23.55","        4.31","        1.24"
"25-Jan-2022","       23.44","        4.35","        1.23"
"27-Jan-2022","       23.05","        4.30","        1.23"
"28-Jan-2022","       23.09","        4.30","        1.23"
"31-Jan-2022","       23.38","        4.36","        1.21"
"01-Feb-2022","       23.44","        4.42","        1.20"
"02-Feb-2022","       23.78","        4.47","        1.19"
"03-Feb-2022","       23.51","        4.42","        1.22"
"04-Feb-2022","       23.43","        4.41","        1.23"
"07-Feb-2022","       22.98","        4.34","        1.24"
