"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"27-Sep-2021","    18167.90","    18168.05","    18028.00","    18085.55","      523832714","        33468.28"
"28-Sep-2021","    18135.90","    18141.55","    17811.20","    17973.15","      764833646","        36815.85"
"29-Sep-2021","    17881.70","    17998.15","    17834.80","    17926.05","     1015094815","        42341.38"
"30-Sep-2021","    17939.35","    17962.55","    17814.95","    17845.10","      774914523","        36817.36"
"01-Oct-2021","    17768.00","    17802.25","    17686.60","    17778.55","      847071913","        30320.40"
"04-Oct-2021","    17867.80","    17992.25","    17837.35","    17956.75","      702640441","        31330.90"
"05-Oct-2021","    17934.55","    18093.20","    17912.35","    18082.80","      790877229","        32127.41"
"06-Oct-2021","    18130.35","    18157.45","    17873.55","    17905.85","      830428886","        34443.31"
"07-Oct-2021","    18072.50","    18122.40","    18031.50","    18058.00","      785757555","        36243.73"
"08-Oct-2021","    18154.00","    18195.30","    18092.55","    18141.70","      689834891","        31536.64"
"11-Oct-2021","    18128.70","    18289.45","    18100.70","    18198.90","      683323566","        36616.69"
"12-Oct-2021","    18181.55","    18275.00","    18125.20","    18258.85","      724211945","        35552.67"
"13-Oct-2021","    18365.90","    18469.10","    18323.35","    18433.20","      901778939","        44813.37"
"14-Oct-2021","    18543.05","    18621.60","    18525.80","    18610.35","      976710994","        49481.00"
"18-Oct-2021","    18789.30","    18807.50","    18717.65","    18734.90","     1593724188","        52503.55"
"19-Oct-2021","    18869.65","    18870.70","    18604.10","    18646.15","      940417482","        44209.69"
"20-Oct-2021","    18665.05","    18678.75","    18399.75","    18467.75","      832368230","        41676.20"
"21-Oct-2021","    18587.20","    18588.45","    18240.20","    18374.10","     1048565491","        43579.10"
"22-Oct-2021","    18426.35","    18502.85","    18203.00","    18285.15","      988154975","        36725.21"
"25-Oct-2021","    18396.20","    18406.15","    18096.65","    18272.40","     1004845866","        44464.05"
"26-Oct-2021","    18301.00","    18463.85","    18260.75","    18425.15","      946700657","        39259.83"
"27-Oct-2021","    18457.20","    18515.80","    18348.25","    18390.05","      823745656","        40497.79"
"28-Oct-2021","    18368.25","    18369.65","    17971.60","    18028.10","     1102473497","        42430.80"
"29-Oct-2021","    18010.55","    18114.50","    17782.45","    17880.80","      913928498","        40947.94"
"01-Nov-2021","    17996.55","    18156.45","    17901.50","    18134.60","      806188031","        35344.54"
"02-Nov-2021","    18174.70","    18211.00","    18062.10","    18101.00","      664609217","        32863.23"
"03-Nov-2021","    18161.20","    18200.00","    17979.85","    18066.95","      680169466","        34905.30"
"04-Nov-2021","    18176.70","    18188.20","    18139.90","    18156.15","      119592729","         4859.71"
"08-Nov-2021","    18280.75","    18339.65","    18079.45","    18320.65","      706457009","        40751.72"
"09-Nov-2021","    18338.35","    18364.60","    18240.80","    18309.05","      608884160","        33224.61"
"10-Nov-2021","    18238.00","    18335.20","    18191.60","    18291.75","      661938185","        33257.82"
"11-Nov-2021","    18248.50","    18252.60","    18085.50","    18156.80","      570489700","        28985.56"
"12-Nov-2021","    18266.75","    18407.45","    18197.90","    18389.50","      473379047","        31386.43"
"15-Nov-2021","    18438.25","    18498.70","    18364.40","    18401.65","      485662765","        27551.06"
"16-Nov-2021","    18420.25","    18425.80","    18260.85","    18301.45","      506128195","        31602.06"
"17-Nov-2021","    18244.05","    18338.35","    18189.45","    18211.35","      505043036","        32705.81"
"18-Nov-2021","    18208.60","    18260.60","    17979.30","    18059.50","      671098013","        33077.36"
"22-Nov-2021","    18096.90","    18103.50","    17561.60","    17708.55","      740474645","        40093.15"
"23-Nov-2021","    17581.55","    17865.70","    17518.95","    17823.50","      956126397","        45357.51"
"24-Nov-2021","    17870.50","    17917.10","    17673.10","    17733.00","      570430991","        32029.40"
"25-Nov-2021","    17739.55","    17884.95","    17657.65","    17861.65","      531107649","        30724.25"
"26-Nov-2021","    17665.10","    17683.50","    17297.15","    17340.50","      744895684","        40220.37"
"29-Nov-2021","    17351.65","    17448.75","    17060.70","    17339.15","      661311253","        36489.10"
"30-Nov-2021","    17333.75","    17611.40","    17216.60","    17270.25","      978145103","        54271.93"
"01-Dec-2021","    17381.40","    17482.65","    17338.60","    17444.45","      626397053","        31734.09"
"02-Dec-2021","    17465.90","    17694.30","    17434.70","    17675.00","      526193475","        30004.14"
"03-Dec-2021","    17701.25","    17764.15","    17477.75","    17493.70","      567503105","        30536.87"
"06-Dec-2021","    17511.30","    17517.90","    17175.55","    17197.50","      525103845","        23914.61"
"07-Dec-2021","    17332.25","    17535.40","    17275.95","    17464.95","      772073633","        29119.32"
